x,300ma,100ma,500ma
"0,1421","2,71673","2,81151","2,61138"
"0,1846","2,72977","2,84643","2,61911"
"0,1865","2,73035","2,84529","2,61947"
"0,219","2,73954","2,84028","2,61548"
"0,2213","2,73954","2,84831","2,61589"
"0,3802","2,73964","2,81559","2,612378"
"0,456","2,73961","2,80181","2,6135"
"0,5379","2,73957","2,82319","2,61539"
"0,6527","2,73954","2,82437","2,61589"
"0,6543","2,73954","2,82429","2,61574"
"0,892","2,73959","2,81559","2,61461"
"1,085","2,7396","2,8153","2,61787"
"1,1268","2,73954","2,81567","2,61425"
"1,5221","2,72625","2,82319","2,57912"
"1,5989","2,72433","2,82306","2,57193"
"1,6402","2,72343","2,82319","2,56798"
"1,6745","2,72273","2,82337","2,56464"
"2,1106","2,71673","2,82676","2,49248"
"2,1453","2,71326","2,82707","2,48099"
"2,4643","2,68631","2,83027","2,31848"
"2,496","2,68421","2,83084","2,29848"
"2,5065","2,68354","2,8308","2,29184"
"2,6499","2,67494","2,8306","2,11597"
"2,6832","2,67308","2,83058","1,80418"
"2,686","2,67292","2,83058","1,94867"
"3,0149","2,65589","2,83058","-11,96074"
"3,4077","2,61027","2,83075","-29,77841"
"3,4908","2,59757","2,8308","-33,56758"
"3,727","2,5561","2,8308","-44,36259"
"3,8","2,54183","2,83078","-47,70604"
"4,0346","2,45817","2,83077","-58,45419"
"4,2693","2,38213","2,83078","-69,22389"
"4,4356","2,16015","2,8308","-76,86165"
"4,4612","2,13118","2,8308","-78,03766"
"4,4624","2,19202","2,8308","-78,09267"
"4,577","2,00951","2,83082","-83,35506"
"4,6121","1,91658","2,83083","-84,97204"
"4,7701","1,75939","2,83085","-92,2333"
"4,9475",nan,"2,8308","-100,39308"
"5,4199",nan,"2,8308","-122,14101"
"6,3648",nan,"2,8308","-165,68747"
"6,404",nan,"2,82319","-167,49613"
"7,3881",nan,"2,81559","-212,89958"
"7,7815",nan,"2,80038","-231,05946"
"8,3325",nan,"2,79278","-256,50329"
"9,0407",nan,"2,76996","-289,21551"
"9,3163",nan,"2,76996","-301,94786"
"10,2606",nan,"2,73954","-345,58391"
"10,3786",nan,"2,73194","-351,03586"
"11,1651",nan,"2,68631","-387,39229"
"11,4797",nan,"2,6711","-401,93993"
"12,0691",nan,"2,61027","-429,19009"
"12,5403",nan,"2,54943","-450,98186"
"12,8938",nan,"2,5038","-467,3273"
"13,3251",nan,"2,41255","-487,27394"
"13,521",nan,"2,36692","-496,33745"
"13,8725",nan,"2,22243","-512,59544"
"13,9113",nan,"2,19202","-514,38913"
"14,1439",nan,"2,00951","-525,14983"
"14,1825",nan,"1,97148","-526,93636"
"14,3364",nan,"1,78897","-534,05544"
"14,3765",nan,"1,827","-535,91142"
